date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:24	51736/51736	---M-Z	200	added ('OK')	text/html	etag:%22ca18-5c0251606e5bc-gzip%22	https://shreethemes.in/doctris/html/doctor-dashboard.html	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/doctor-dashboard.html	(from )
18:51:24	277/277	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jul%202021%2011:51:23%20GMT	https://shreethemes.in/robots.txt		(from )
18:51:24	4596/4596	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2211f4-5c0251607ff01%22	https://shreethemes.in/doctris/html/images/favicon.ico	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/images/favicon.ico	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:25	153111/153111	---M-Z	200	added ('OK')	text/css	etag:%2225617-5c0251606e5bc-gzip%22	https://shreethemes.in/doctris/html/css/bootstrap.min.css	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/css/bootstrap.min.css	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:26	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c0251606e5bc-gzip%22	https://shreethemes.in/doctris/html/css/tiny-slider.css	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/css/tiny-slider.css	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:27	269370/269370	---M-Z	200	added ('OK')	text/css	etag:%2241c3a-5c0251606e5bc-gzip%22	https://shreethemes.in/doctris/html/css/materialdesignicons.min.css	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/css/materialdesignicons.min.css	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:27	110492/110492	---M-Z	200	added ('OK')	text/css	etag:%221af9c-5c0251606e5bc-gzip%22	https://shreethemes.in/doctris/html/css/remixicon.css	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/css/remixicon.css	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:27	58297/58297	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v3.0.6/css/line.css	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/unicons.iconscout.com/release/v3.0.6/css/line.css	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:27	72459/72459	---M-Z	200	added ('OK')	text/css	etag:%2211b0b-5c0251606e5bc-gzip%22	https://shreethemes.in/doctris/html/css/style.min.css	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/css/style.min.css	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:28	80576/80576	---M-Z	200	added ('OK')	text/html	etag:%2213ac0-5c02516087c04-gzip%22	https://shreethemes.in/doctris/html/index.html	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/index.html	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:28	17950/17950	---M--	200	added ('OK')	image/png	etag:%22461e-5c02516080ea1%22	https://shreethemes.in/doctris/html/images/logo-dark.png	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/images/logo-dark.png	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
18:51:28	23723/23723	---M--	200	added ('OK')	image/jpeg	etag:%225cab-5c0251607ef61%22	https://shreethemes.in/doctris/html/images/doctors/01.jpg	D:/FPT%20University/Full%20stack/Front-end/HCI%20Project%20Template/shreethemes.in/doctris/html/images/doctors/01.jpg	(from https://shreethemes.in/doctris/html/doctor-dashboard.html)
